"1","Government Rose Garden","The Government Rose Garden is situated on the slopes of the Elk Hill in Vijayanagaram of Ooty town in Tamil Nadu, India at an altitude of 2200 meters.","park","Coimbatore","Aravankadu, Nilgiris, Nagapattinam Coimbatore Gundlupet Highway, Ooty","spring","3",""
"2","Bekal Fort","Bekal Fort, is the largest fort in Kerala, situated at Bekal village in Kasaragod district,","beach","kerala","Kasaragod Road, Kasaragod, Bekal, Kerala","summer","0",""
"3","Arignar Anna Zoological Park","Arignar Anna Zoological Park, also known as the Vandalur Zoo, is a zoological garden located in Vandalur, ","park","chennai","GST Road, Vandalur, Chennai, Tamil Nadu","Select","0",""
"4","Tiruchirapalli Rock Fort","Tiruchirappalli Rockfort is a historic fortification and temple complex built on an ancient rock","temple","trichy","Tiruchirappalli, Tamil Nadu, India","autumn","1",""
"5","Lal Bagh","The foundation stone for the Glass House, modeled on London's Crystal Palace was laid on 30 November 1898 by Prince Albert ","park","bangalore","Mavalli, Bengaluru, Karnataka","summer","3",""
"6","The Red Fort","The Delhi Gate is an entrance to the Red Fort in Delhi and is on the Fort's southern wall","Forts southern wall","delhi","Netaji Subhash Marg, Lal Qila, Chandni Chowk, New Delhi","summer","1",""
"7","TUGHLAQABAD FORT","At a distance of 20 km from New Delhi Railway Station and 5 km from Tughlaqabad Railway Station","lake","Tughlakabad","Tughlaqabad Fort, Tughlakabad, New Delhi, Delhi","winter","0","3"
"8","NEEMRANA FORT PALACE","At a distance of 20 km from New Delhi Railway Station and 5 km from Tughlaqabad Railway Station,","touristpalce","Alwar","Alwar,delhi","summer","0","3"
"9","VASAI FORT","At a distance of 73 km from Mumbai Chhatrapati Shivaji Terminus, Vasai Fort, also known as the Bassein Fort","ship building ","Maharashtra ","Tughlaqabad Fort, Tughlakabad, New Delhi, Delhi 110044","winter","1","3"
"10","JAIGARH FORT","At a distance of 15 km from Jaipur Junction Railway Station and less than 1 km (by walk) from Amer Fort","Maota Lake"," Rajasthan ","Above Amber Fort, Jaipur, Rajasthan ","autumn","0"," 9AM?4:30PM"
"11","AADYA KATYAYANI SHAKTI PEETH MANDIR","At a distance of 4 km from Qutub Minar and 19 Km from New Delhi Railway Station,","temple","Chhatarpur"," Chhatarpur, Near Chhatarpur Metro Station, New Delhi, Delhi ","winter","1","3"
"12","Bandipur National Park"," Bandipur National Park is one of the well preserved National Parks in India","park","bangalore","Bandipur, Gundlupet Taluk, Chamarajanagar, Bandipur, Karnataka","winter","1"," 9AM?4:30PM"
"13","JAYACHAMARAJENDRA ZOOLOGICAL GARDENS","Mysore places to visit and often used to promote Mysore Tourism ","park","bangalore","JAYACHAMARAJENDRA ZOOLOGICAL GARDENS","winter","0"," 9AM?4:30PM"
"14","RAMANAGARA","Ramanagara is one of the most popular trekking spots around Bangalore","hills","bangalore","RAMANAGARA","spring","2"," 9AM?4:30PM"
"15","WONDER LA","Wonderla offers Regular Tickets and Fastrack Tickets. Fastrack Tickets allows visitors to enjoy the rides ","park","bangalore","Bengaluru, Kochi, Hyderabad","summer","0"," 9AM?4:30PM"
"16","PYKARA DAM","Pykara Dam built on Pykara River amidst dense forest is a beautiful destination","dam","bangalore","PYKARA DAM,On Ooty-Mysore Road","summer","2"," 9AM?4:30PM"
"17","marina beach","Marina beach in Chennai along the Bay of Bengal is India's longest and world's second longest beach.It was famed for its pristine beauty, jolly ambiance, and rich ecosystems.","beach","Chennai, Tamil Nadu.","Marina Beach Chennai, Marina Beach, Triplicane, Chennai, Tamil Nadu","summer","0","12:00 am ? 12:00 am"
"18","Upper Lake","One of the most famous places in Bhopal, the Upper Lake, locally referred to as ?Bhojtaal? or ?Bada Talab?, is the oldest man-made lake in India. Dating back to the 11th century, the lake is believed to have been built by Raja bhoj.","lake","bhopal","upper lake view point, bhopal, madhya pradesh","spring","0","12:00 am ? 12:00 am"
"19","Van Vihar National Park","Sitting in close proximity to Upper Lake, the Van Vihar National Park is one of the unmissable tourist places in Bhopal. Serving as the lungs of the city, the park is under strict observation and protection. It is also home to a wide array of wildlife like Blackbuck, Cheetal, Sambar, Blue Bull, Porcupine, Wild Boar, and Hyena, besides exotic floral species.","park","bhopal","van vihar, Krishna Nagar, Shyamla Hills, Bhopal, Madhya Pradesh","summer","0","07:00 AM to 07:00 PM "
"20","Udayagiri Caves","A magnificent set of twenty sculpted caves that date back to the early 5th century CE, the Udayagiri Caves hold within their walls some of the most ancient icon drawings and carvings.","caves","bhopal","udayagiri caves, Vidisha, madhya pradesh","spring","0","09:00 AM to 06:00 PM every day."
"21","Sanchi Stupa","One of the most unbeatable places to visit in Bhopal, and possibly in entire India, the magnificence of the Sanchi Stupa remains unmatched till date. Believed to have originated in the 3rd century BCE, the building was built it the reign of the great emperor Ashoka of the Maurya Dynasty and is one of the most remarkable Buddhist monuments in the country.","historical place","bhopal","sanchi stupa, Sanchi, Raisen, Madhya Pradesh","autumn","0"," 08:30 AM to 05:30 PM every day."
"22","Shaukat Mahal","A beautiful anomaly of the Asian and Western architectural art amidst the predominance of Islamic architecture in Bhopal, Shaukat Mahal is one of the most frequented tourist places in Bhopal.","historical place","bhopal","Shaukat Mahal, Sultania Rd, Nakkar Khana, Peer Gate Area, Bhopal, Madhya Pradesh","spring","0","24 hours every day."
"23"," Bhojpur Temple","Another stunning heritage built by Raja Bhoj in the 11th century, the Bhojpur Temple is a religious tribute to the Hindu God Shiva, nestled in the rustic village of Bhojpur in Madhya Pradesh.Harboring a 7.5 feet high lingam (idol of Lord Shiva), the temple tempts a herd of tourists and pilgrims into its glorious sanctum every year. The majestic remains of the ancient Shiva temple and the cyclopean dam make this an important archaeological site, and a real treat for history buffs and patrons of religion.","temple","bhopal","Bhojpur Temple, Bhojpur Rd, Bhojpur, Madhya Pradesh","spring","0","06:00 AM to 07:00 PM every day."
"24","Rajwada","Rajwada is subdivided into two major parts. One part of it is a temple and another part is a grand palace. Built by the Holkars of Maratha Dynasty, the Rajwada palace is a 7-storied structure situated in proximity to the Chhatris. The palace remains crowded by locals & outsiders throughout the year.  The lush green garden at its entrance leaves the visitors mesmerized by its splendor. Cradled between the vibrant streets of Khajuri market, it faces an enticing garden which flaunts the statue of Ahilya Bai & numerous beautiful fountains. Because of its beauty and history, visiting Rajwada makes it to the list of things you should definitely do in Indore.","historical place","indore","Rajwada Circle, Near Holker Cloth Market, Rajwada, Indore, Madhya Pradesh, 452002","autumn","0","10:00 AM to 05:00 PM except on  Monday."
"25","Khajrana Ganesh Temple","One of the most sought-after places to visit in Indore, Khajrana Ganesh temple was built by the Ahilyabai Holkar to safeguard the Lord Ganesh idol from Aurangzeb. The temple comprises a Ganesha statue & several smaller temples which are dedicated to the other deities.","temple","indore","Khajrana Ganesh Temple, Khajrana Rd, Ganeshpuri Colony, Khajrana, Indore, Madhya Pradesh, 452016","spring","0","05:00 AM to 12:00 PM."
"26","Patalpani Waterfall","If you are looking for a scenic picnic spot in Indore, Patalpani Waterfall might put an end to your search. Situated 35 Km south-west from the Indore city, this place is a favorite weekend destination for travel junkies and one of the must-visit waterfalls in Indore. ","water falls","indore","Patalpani Waterfall, Kekariya Dabri, Madhya Pradesh, 453441","spring","0"," 06:00 AM to 06:00 PM."
"27","Tincha Falls","What can be a better weekend getaway than a place surrounded by splendid waterfalls? Well, the city of Indore houses a number of such destinations, and Tincha Falls is one among them. Located at a distance of 25 Km from Indore & 10 Km from Simrol village, the place is popular for its roaring waterfalls which offer alluring views in the monsoon. ","water falls","indore","Tincha Falls, Berchha, Madhya Pradesh 452001","winter","0","can be visited any time of the day."
"28","Marine Drive","Popularly referred to as the Queen?s Necklace, Marine Drive is a 4 km long promenade located in South Bombay. One of the most beautiful roads in Mumbai, a birds-eye view of this stretch looks magnificent at night with the lights making the entirety resemble a queen?s necklace. This beautiful place in Mumbai comes alive in the evenings when people relax and admire the brilliant view or take a walk on the promenade overlooking the Arabian Sea that is surprisingly therapeutic to the soul.","beach","mumbai","Marine Drive, Mumbai, Maharashtra","autumn","0","Always Open"
"29","Gateway of India","One of the most distinguishing landmarks that signify the city, the Gateway of India came into existence in the year 1924 during the British Raj to celebrate the arrival of King George V and Queen Mary to Bombay. The structure marks the area as one of India?s major ports which formally symbolised elements of British grandeur.","historical place","mumbai","Gateway of India is located at Apollo Bandar, Colaba, Mumbai, Maharashtra ","autumn","0","7:00 AM to 5:30 PM"
"30","Siddhivinayak Temple","A Hindu temple dedicated to the Lord Shri Ganesh is a standing testament to beauty and architecture. Constructed in 1801, the temple entertains thousands of devotees every single day. Even Bollywood celebrities, as well as other prominent figures, climb up to the temple to seek blessings and offer prayers to Lord Ganesha that is its magnetism.","temple","mumbai","Siddhivinayak Temple is located at S.K.Bole Marg, Prabhadevi, Mumbai, Maharashtra ","spring","0","from 05:30 am morning."
